,Unnamed: 0,ID,SurfaceR,NumberR,TypeR,VegetationR,Surroundings1,Surroundings2,Surroundings3,UseR,FishingR,AcessR,RoadDistanceR,BuildingR,PollutionR,ShoreR,Green frogs,Brown frogs,Common toad,Fire-bellied toad,Tree frog,Common newt,Great crested newt
0,38,39,100,1,a,2,b,e,h,0,0,100,1,1,0,natural,0,1,0,0,0,0,0
1,3,4,300,1,d,0,e,h,b,3,4,25,0,0,0,natural,0,0,1,0,0,0,0
2,164,165,2600,1,a,2,b,h,e,0,0,50,0,0,0,natural,1,1,1,0,1,0,0
3,70,71,300,1,g,3,a,b,h,0,0,100,10,10,0,natural,1,1,0,1,0,0,0
5,92,93,3500,1,a,3,f,a,b,0,0,100,2,2,0,natural,1,1,1,0,0,1,0
6,6,7,500,1,d,0,e,e,h,1,2,25,0,0,0,concrete,0,0,1,0,0,0,0
7,51,52,4000,1,a,3,a,a,b,0,0,100,5,5,0,natural,1,1,1,0,0,0,0
9,77,78,500,2,a,0,b,g,a,3,3,100,1,2,0,natural,0,0,1,0,0,0,0
10,174,175,200,1,a,1,e,e,b,0,0,75,0,0,0,natural,0,1,1,1,1,1,1
11,173,174,1100,2,a,3,b,e,e,0,0,100,0,0,0,natural,0,1,1,1,1,1,1
13,25,26,4500,1,a,1,b,b,g,3,2,100,9,9,0,natural,1,1,1,0,1,0,0
15,180,181,4000,2,a,1,c,e,g,3,2,80,1,1,0,natural,1,1,1,0,1,1,1
16,4,5,600,2,a,4,h,b,e,0,0,99,0,5,0,natural,0,1,1,1,0,1,1
17,118,119,450,1,a,1,h,h,h,3,3,100,5,2,0,natural,1,1,0,1,0,1,0
18,182,183,350,1,a,0,b,e,h,1,3,100,1,1,0,natural,1,1,1,0,0,0,0
19,82,83,2000,3,a,4,h,h,i,0,0,100,5,5,0,natural,0,1,1,0,0,0,0
20,34,35,300,1,a,1,b,h,h,0,0,100,2,2,0,natural,0,1,1,0,0,0,0
21,158,159,600,1,d,2,e,e,h,3,2,100,2,2,0,natural,1,1,1,1,1,1,0
22,175,176,1000,1,a,4,b,a,e,0,0,100,1,1,0,natural,1,0,0,0,1,0,0
24,134,135,2400,2,a,0,b,e,h,3,4,75,1,1,0,natural,1,0,0,0,0,0,0
25,105,106,450,1,a,1,e,h,h,0,1,25,1,1,0,natural,1,1,1,0,1,1,0
26,78,79,1000,1,a,3,b,a,g,0,0,100,2,5,0,natural,0,0,0,0,1,0,0
27,125,126,300,1,j,1,a,f,e,0,0,100,1,1,0,natural,0,0,0,0,1,0,0
28,23,24,1700,1,a,3,h,e,b,0,0,100,0,0,0,natural,0,1,1,0,0,0,0
29,171,172,300,1,j,1,a,a,g,0,0,100,0,1,0,natural,0,1,0,0,0,0,0
30,181,182,200,1,h,3,h,a,e,0,0,100,1,2,0,natural,0,1,1,0,0,0,0
32,72,73,1000,1,a,2,b,f,g,0,0,75,0,0,0,natural,0,0,1,0,0,0,0
33,87,88,300,1,i,1,b,h,h,0,0,100,5,5,0,natural,0,1,1,0,1,0,0
35,133,134,3400,2,b,0,e,f,h,0,0,75,1,1,0,natural,1,0,0,0,0,1,0
36,151,152,600,1,a,4,g,b,h,0,0,50,0,0,0,natural,0,1,0,1,0,0,0
37,160,161,1400,1,a,1,a,b,h,0,0,100,5,5,0,natural,1,1,1,1,1,1,0
38,64,65,3500,1,b,0,e,g,b,0,0,50,0,0,0,natural,1,1,1,0,0,0,0
39,67,68,200,1,h,4,f,b,e,0,0,100,0,0,0,natural,0,1,0,0,0,0,0
40,146,147,1700,1,a,3,g,e,b,0,0,25,0,0,0,natural,1,1,1,0,1,1,0
42,71,72,300,1,i,3,f,b,a,0,0,100,5,5,0,natural,1,1,1,0,0,0,0
43,126,127,200,1,a,1,e,h,a,0,0,100,1,1,0,natural,1,1,1,1,1,1,1
44,89,90,300,1,j,0,b,g,f,0,0,100,1,1,0,natural,1,0,0,0,0,0,0
45,108,109,50,1,a,2,h,h,e,0,0,100,9,5,0,natural,1,1,0,0,0,0,0
46,17,18,300,1,j,1,a,a,g,0,0,75,0,5,0,natural,0,1,1,0,0,0,0
47,42,43,100,1,g,4,b,e,f,0,0,100,5,5,0,natural,0,0,1,0,1,0,0
48,41,42,200,1,h,4,b,b,f,0,0,100,5,5,0,natural,0,0,1,1,1,0,0
49,31,32,2100,1,a,3,b,g,b,0,0,50,0,1,0,natural,0,0,0,0,1,0,0
50,122,123,300,1,i,1,h,e,b,0,0,100,1,1,0,natural,0,1,0,0,0,0,0
51,5,6,200,1,d,1,e,e,h,1,0,50,0,0,0,natural,0,0,0,0,0,0,0
52,83,84,300,1,j,2,b,i,e,0,0,100,2,5,0,natural,0,1,1,0,1,0,0
53,170,171,1000,2,a,3,b,e,a,0,0,100,0,1,0,natural,1,1,1,1,1,1,1
54,132,133,6300,3,a,0,f,a,d,0,0,100,2,1,0,natural,1,1,1,0,0,0,0
55,115,116,300,1,j,1,h,a,e,0,0,100,1,1,0,natural,0,1,1,0,0,0,0
56,86,87,300,1,j,3,h,h,h,0,0,100,9,9,0,natural,0,1,1,0,1,0,0
57,12,13,7000,1,a,1,b,e,h,3,3,50,1,5,0,natural,1,0,1,0,0,0,0
59,24,25,300,1,a,2,f,b,h,0,0,100,5,5,2,natural,1,0,0,0,0,1,0
62,8,9,750,2,d,1,e,a,b,0,1,50,1,0,0,natural,0,1,1,0,0,0,0
63,162,163,300,1,j,1,a,a,h,0,0,100,5,5,0,natural,0,1,0,0,0,0,0
64,53,54,400,1,a,2,a,f,e,0,0,100,0,1,0,natural,0,1,0,0,0,1,0
65,27,28,7000,1,a,4,b,b,a,0,0,100,5,5,0,natural,0,0,0,1,1,0,1
67,159,160,300,1,h,3,a,b,h,0,0,100,1,2,0,natural,0,1,0,0,0,0,0
68,101,102,300,1,j,1,b,f,b,0,0,100,1,1,0,natural,0,1,1,0,0,0,0
69,43,44,2500,1,a,3,f,b,g,0,0,75,0,2,0,natural,0,1,0,0,0,0,0
70,57,58,600,1,a,2,f,a,h,0,0,100,2,2,0,natural,0,0,0,0,1,0,0
71,154,155,350,1,a,0,b,a,h,3,3,100,1,1,0,natural,1,1,1,1,1,1,0
72,22,23,800,1,a,0,a,b,f,3,4,100,2,1,0,natural,0,1,1,0,0,0,0
73,155,156,200,1,a,3,b,e,d,0,0,50,1,1,1,concrete,1,1,1,0,0,0,0
74,178,179,1100,1,d,0,b,a,h,3,3,100,5,1,0,concrete,0,0,0,0,0,0,0
76,63,64,100,1,a,4,b,g,a,0,0,100,1,2,0,natural,1,0,1,0,0,0,0
77,130,131,100,1,a,1,a,f,h,0,0,100,9,9,0,natural,0,1,1,1,0,0,0
78,137,138,300,1,a,0,e,g,b,3,3,50,0,0,0,natural,1,1,1,0,1,0,0
79,120,121,200,1,d,2,h,e,a,3,0,100,1,1,0,natural,1,1,1,0,0,0,0
80,45,46,500,1,h,4,b,f,b,0,0,100,5,5,0,natural,1,1,1,1,1,0,0
81,35,36,1100,1,a,0,b,e,h,3,4,100,2,2,0,natural,0,1,1,0,0,0,0
82,65,66,300,1,h,3,f,b,a,0,0,100,5,5,0,natural,1,1,0,0,0,0,0
83,50,51,4300,1,a,3,a,b,b,0,0,100,5,5,0,natural,1,1,1,0,1,0,1
85,16,17,300,1,h,4,a,a,a,0,0,100,5,10,0,natural,0,1,1,0,1,0,0
86,19,20,3800,6,a,2,e,e,b,3,1,25,0,0,0,natural,1,0,1,0,1,0,0
87,128,129,300,1,j,1,a,a,a,0,0,100,5,5,0,natural,0,0,0,0,0,0,0
88,112,113,500,1,a,3,h,a,e,0,0,75,0,1,0,natural,1,1,1,1,1,1,0
89,68,69,300,1,h,4,b,b,f,0,0,100,2,5,0,natural,0,1,0,0,0,0,0
90,76,77,300,1,a,3,b,b,a,0,0,100,5,1,0,natural,0,0,0,1,1,0,0
91,186,187,500,1,a,4,a,h,b,0,0,100,5,5,0,natural,1,1,1,1,0,1,0
92,10,11,200,1,a,4,b,f,a,0,0,100,2,1,0,natural,1,0,0,0,0,0,0
94,11,12,300,1,i,2,a,b,f,0,0,100,2,1,0,natural,0,1,1,0,0,0,0
95,55,56,1500,2,b,2,f,b,e,1,2,100,5,0,0,natural,0,1,1,0,0,0,0
96,88,89,3500,1,a,2,f,e,a,0,0,100,2,2,0,natural,1,1,1,1,0,1,0
97,165,166,300,1,i,1,b,f,h,0,0,100,2,0,0,natural,0,1,1,1,0,0,0
98,121,122,700,1,a,0,h,e,f,3,2,100,1,1,0,natural,1,1,1,0,1,1,1
99,9,10,200,1,h,4,b,f,e,0,0,75,1,0,0,natural,0,1,1,0,0,0,0
100,111,112,150,2,a,1,a,h,e,0,1,100,0,1,0,natural,1,1,1,1,1,1,1
101,32,33,500,1,a,0,b,h,e,3,4,100,2,1,0,natural,1,1,0,0,0,0,0
102,29,30,7000,1,a,3,b,b,f,0,0,100,0,1,0,natural,0,1,1,0,1,0,0
103,39,40,100,1,d,1,f,b,e,3,0,100,2,1,0,natural,1,0,0,0,0,0,0
104,56,57,300,1,i,3,f,b,a,0,0,100,5,5,0,natural,1,1,1,0,1,1,0
105,183,184,4000,1,h,4,b,e,h,0,0,100,1,1,0,natural,0,1,1,0,0,0,0
106,91,92,500,1,i,1,-,a,e,0,0,100,2,2,0,natural,1,1,1,1,0,1,0
108,143,144,1500,3,a,1,b,a,h,3,3,100,2,2,0,natural,1,1,1,1,1,1,0
109,74,75,100,1,g,4,a,h,b,0,0,100,10,10,0,natural,1,1,1,0,1,0,0
110,59,60,1000,1,a,0,a,e,f,3,3,75,0,0,0,natural,1,0,1,0,0,0,0
111,156,157,2300,1,a,2,a,a,e,0,0,100,2,1,0,natural,1,1,1,0,1,1,0
113,161,162,3000,1,a,3,b,h,a,0,0,100,5,2,0,natural,1,1,1,1,1,1,0
114,163,164,2300,1,a,1,b,e,h,3,3,50,1,0,0,natural,1,1,1,0,1,0,0
115,36,37,1000,1,a,2,b,h,e,0,0,100,1,1,0,natural,0,0,0,1,0,0,0
117,176,177,300,1,i,2,b,g,f,0,0,75,0,2,0,natural,0,1,0,0,0,0,0
118,114,115,300,1,j,1,h,a,e,0,0,100,1,1,0,natural,0,1,1,0,0,0,0
119,179,180,2500,1,a,4,b,e,f,0,0,100,5,1,0,natural,1,1,1,0,1,1,0
120,52,53,300,1,a,4,a,b,e,0,0,99,2,2,0,natural,0,1,0,0,0,0,0
121,139,140,4000,2,a,0,a,h,e,3,4,100,2,1,0,natural,1,1,0,0,0,0,0
123,48,49,1900,7,h,4,b,e,f,0,0,100,5,5,0,natural,1,1,0,0,1,1,0
124,30,31,3300,1,a,3,b,a,f,0,0,100,5,5,0,natural,0,1,0,0,1,0,0
125,168,169,300,1,h,3,h,b,a,0,0,100,2,0,0,natural,0,1,0,0,0,0,0
126,13,14,1700,1,a,1,b,e,h,0,1,100,2,2,2,natural,1,1,1,0,0,0,0
129,75,76,100,1,a,2,b,f,e,0,0,100,2,2,2,natural,1,0,0,0,0,0,0
130,141,142,4100,5,a,1,a,h,b,3,3,100,0,1,0,natural,1,1,1,0,1,0,0
131,80,81,600,2,a,1,a,h,e,3,1,100,1,0,0,natural,1,1,1,0,1,1,1
132,99,100,250,1,e,1,a,h,e,0,0,100,2,5,0,natural,1,1,1,1,1,1,1
133,124,125,300,1,j,1,h,h,e,0,0,100,0,2,0,natural,0,0,0,0,0,0,0
134,144,145,300,1,a,3,b,a,e,0,0,100,2,1,0,natural,1,1,0,0,0,0,0
135,117,118,3000,1,a,3,b,h,e,0,1,100,5,5,0,natural,1,1,1,0,0,1,0
137,1,2,700,1,d,1,h,e,h,3,1,75,1,1,0,natural,0,1,1,0,0,1,0
138,113,114,900,1,a,1,a,h,e,3,2,100,2,2,0,natural,1,1,1,1,1,1,0
140,116,117,300,1,j,1,a,h,e,1,0,100,1,1,0,natural,0,1,0,0,0,0,0
141,18,19,1600,3,a,0,b,e,b,3,1,75,2,1,0,natural,1,1,1,1,0,0,0
142,185,186,300,1,i,2,f,h,b,0,0,100,5,5,0,natural,1,1,1,1,0,1,0
143,54,55,1000,1,a,1,b,b,a,0,0,100,5,5,0,natural,1,1,1,1,1,1,0
144,177,178,1000,1,i,2,f,a,g,0,0,75,1,2,0,natural,0,1,0,0,0,0,0
146,127,128,350,1,a,2,h,a,e,0,0,100,1,1,0,natural,1,1,1,1,1,1,0
147,49,50,30,1,a,2,b,f,e,0,0,75,0,1,0,natural,0,1,1,0,0,1,0
148,94,95,5000,1,a,0,a,h,b,3,2,100,5,5,0,natural,1,1,1,1,0,1,0
149,20,21,7000,6,a,1,e,h,b,3,4,50,0,0,0,natural,1,0,1,0,0,0,0
150,37,38,400,1,d,1,e,b,h,1,0,75,2,0,0,natural,0,0,1,0,1,0,1
151,79,80,500,1,h,4,f,a,a,0,0,100,10,10,0,natural,1,0,1,0,0,1,0
152,123,124,300,1,h,2,h,h,b,0,0,50,2,5,0,natural,0,1,0,0,0,0,0
153,33,34,400,2,a,2,b,h,h,0,0,100,1,5,0,natural,0,1,0,0,0,0,0
154,7,8,700,1,d,2,h,e,g,0,0,100,1,1,0,natural,1,1,0,1,0,0,0
156,187,188,300,1,h,3,b,a,e,0,0,100,1,0,0,natural,0,1,1,0,0,0,0
157,188,189,300,1,h,3,b,e,h,0,0,100,1,1,0,natural,0,1,1,0,0,0,0
